No.,text ,username,timestamp,Label by Human
24,Get paid to promote brands online. $500 per brand — DM to join private group.,@brandpromopay,"Oct 1, 2024, 1:20 PM",2
25,Earn $$ weekly packing items at home. Training video fee $15.,@homepackcenter,"Mar 14, 2025, 5:12 PM",2
26,Hiring remote personal shoppers. Send ID to apply.,@luxshopassist,"Feb 21, 2024, 7:14 PM",2
27,Telegram-only remote job — high pay guaranteed.,@teleworkfast2025,"Jun 8, 2025, 11:48 AM",2
28,Online tutoring job. No interview. Buy starter kit to begin.,@tutorstarterkits,"Nov 19, 2024, 3:21 PM",2
29,Remote warehouse coordinator — pay sent via crypto only.,@cryptopaystaff,"Feb 25, 2025, 4:03 PM",2
30,Quick hire! Need many assistants for simple computer tasks. Training fee applies,@superfastjobs,"Aug 5, 2025, 6:40 PM",2
31,Data entry: $250/day. Application via suspicious domain: entry-jobs.win/apply,@entryjobsfast,"Jan 2, 2025, 10:21 AM",2
32,Become a remote agent today — pay $30 fee to activate your dashboard.,@agentonlinecenter,"Apr 18, 2025, 11:17 PM",2
33,Looking for remote HR assistants. Must join private WhatsApp group first.,@hrglobalquick,"Dec 13, 2024, 8:04 PM",2
34,Earn money sending emails! No contract! DM to get started now.,@emailearn_now,"Jun 19, 2025, 1:58 PM",2
35,Paid to repost Instagram reels — $100/day. Pay fee to unlock training.,@reelspaymenthub,"Oct 9, 2025, 7:14 AM",2
36,Shipping coordinator job: receive and re-send packages. High pay!,@shippingeasyfast,"Jan 24, 2025, 5:31 PM",2
37,Get paid daily by joining our NFT promotional team! Crypto transfers only.,@nftjobsteam,"Aug 12, 2025, 9:09 PM",2
38,Hiring virtual receptionists — must verify identity via personal documents.,@verifyjobsco,"Feb 14, 2025, 3:00 PM",2
39,"Online chat role: $500 weekly, apply via Google Form.",@chatpremium_hr,"Nov 28, 2024, 8:47 AM",2
40,Earn $75 for each friend you onboard. DM for referral link.,@referralpayteam,"May 8, 2025, 2:18 PM",2
