text,label,split
"Social cognition grad students & postdocs on the job market: 
Do you want to practice your job talk in my lab meeting? (Zoom or in-person)
Its a low-stakes opportunity to get constructive feedback & prepare for Qs you might get from hiring committees. 
DM me if you’re interested!
(plz rt widely)",1,train
"I'm hiring an assistant level communications/marketing position at my day job. If you know anyone who can work hybrid in Oakland, CA and is an excellent copywriter, DM me for more info. I work in mission-driven publishing so an interest in social justice/repro rights is key.",0,train
"Are you well-connected in Marketing, eCommerce, Finance, Real Estate, or Media? Let’s team up! I can help your network access affordable global talent recruitment solutions. If this sounds like a win, DM me—let’s make it happen! 🚀",1,train
If I know any youth/collection development librarians that might be into a Cleveland based hybrid job my team is hiring. 2 days/wk in office. Dm me,0,train
"My lab at Indiana University is searching for a *postdoc* and *technician* to contribute to our work studying the evolution of social behavior using fruit flies as a model system. Details below, feel free to email me with any questions! More info on our research: saltzlab.com",0,train
"So hey, idk if I’ve mentioned on here lately, but the goofy little DC higher-ed nonprofit where I’ve been working these last 3 years(!) is hiring for a couple of positions. They pay… ok. Almost fully remote, tho; big perk.

If we’re myoots & you need a fake email job & you wanna talk about it, DM me",1,train
My Calif based company (~50 employees) is hiring a Web Developer. Job is fully remote. Financial/Insurance. DM me if you want more info.,0,train
"*Job alert* We are advertising two opportunities 
@manchester.ac.uk
, linked to the JUST centre (www.just.ac.uk)
- A Post-Doctoral Research Associate on Social & Built Infrastructure  (www.jobs.manchester.ac.uk/Job/JobDetai...)
- A PhD on Green Skills & Communities (www.findaphd.com/phds/project...)",0,train
"NEW JOB! 🌸 

Age Connects Morgannwg is hiring a Connected Communities Programme Manager in Hybrid. Approximately 20% working from home, 80% field and office-based work.

http://www.charityjobfinder.co.uk/job/3458/con...",0,train
"🚨 We’re Hiring! Work from Home with Brainbucks 🏠
Perfect for homemakers, students & job seekers.
✅ Flexible programs
✅ Free certifications
✅ Real career growth

📲 Apply now: forms.gle/ZLL1uwAPSKWm...
📞 6301664137",2,train
"NYC bloomfs: I'm hiring a part-time, freelance Video Writer/Producer to work with me on video content for StreetEasy! ~10-15 hours per week, $65-70 hourly rate. DM me with questions or if you'd like to see the full job description",0,train
"🚨Job alert🚨 

The lab has up to *3 postdoc openings* for comp systems neuroscientists interested in describing and manipulating neural population dynamics mediating behaviour

This is part of a collaborative ARIA grant ""4D precision control of cortical dynamics""

euraxess.ec.europa.eu/jobs/383909",0,train
Why wait for the future? Work remote now! 🔗 eazyearning.online #RemoteWork #JobSearch #Careers #RemoteJobs #WorkFromHome,2,train
"We're hiring 2 #chempostdoc for PUI faculty training doing research with undergraduates. Preferred experience in air-free organometallics and/or crystallography. Flexible start. $66,560K/yr + benefits. DM/email me for details/questions. foundation.cpp.edu/es/employmen... Job #520547175",0,train
My day job is hiring. If you're looking for a corporate full stack developer job DM me for more details.,0,train
"Anyways, my publicist/editor-in-chief is looking for an executive assistant. If you are in Atlanta and you want to work under a publicist to have a start in the fashion/entertainment industry and you live in Atlanta, we are hiring. DM me for more info. This position is paid, part-time, and hybrid.",0,train
💼 USA Remote Jobs 🇺🇸 Work from home & earn $100–$300 weekly! No experience needed ✅ Flexible hours 🕒 | Weekly Pay 💵 👉 Apply Now: shorturl.at/Rqgow #USAJobs #WorkFromHome #HiringNow #RemoteWork #OnlineJobs,2,train
"⚠️ SOCIAL MEDIA MARKETING INTERNSHIP ⚠️ We're looking for a social media marketing intern to join the team! (Remote, contract 3 months) Pls email your CV to elsethgames(at)gmail(dot)com (don't DM me) Shares appreciated 🥰",1,train
"Scientific American is hiring! A senior tech reporter, to be exact. It's a great writing job with great colleagues and huge impact. Please spread the word and DM me with any questions. Here's the official ad: springernature.wd3.myworkdayjobs.com/SpringerNatu...",0,train
🚨 We're Hiring: Freelance Paid App Reviewer! 🚨 Join our team and get paid for reviewing apps! Work from home with flexible hours. Apply now 👉 bit.ly/WritingRevie... #FreelanceJobs #WorkFromHome #RemoteWork #AppReviewer #PaidReviews #SideHustle #JobOpportunity #FlexibleJobs #WFH #EarnFromHome,2,train
"Unique job alert! I know a fairly small org that's doing very impactful work in the tech hiring space. 

They need an *experienced* sales leader/director to build and own relationships with the companies they work with. 

DM me or email alex@indyhall.org for a link to apply.",0,train
"My WTF side job is urgently hiring 200 casuals to work on the big national Graduate Outcomes Survey, so if anyone wants an extra few quid between now and December drop me a DM.",1,train
"Cincinnati is hiring! I’ve only been here for a few months, but if you have any questions about the department or Cincinnati generally feel free to DM me! 🥳

philjobs.org/job/show/24834",0,train
"The Baltimore Banner is hiring a sports reporter who will cover the Orioles with me (yay, come hang), along with some general assignment work.

DM or email me (Andy dot Kostka at thebanner dot com) if you have questions or interest:

http://job-boards.greenhouse.io/thebaltimore...",0,train
"any full stack JS/TS devs looking for a job? we're hiring. DM for details if we know each other enough

and by DM i mean find me on discord (aliceisjustplaying) or any other social media platform where you can message me",0,train
"Interested in OpenTelemetry? Wanna work with me? We're hiring for the Observability team at Heroku. We're building tooling for internal teams, and the org culture is the most supportive I've ever experienced anywhere.

Job posting to come, but DM me if you're interested!",1,train
"The @Oath Paranoids (security team for Yahoo, AOL, HuffPo, and 50+ brands) are hiring! Feel free to DM me questions www.oath.com/careers/job-...",0,train
"My org is hiring a fully remote ""platform specialist."" No degree needed. Affinity for data & analysis required. Job is to monitor social media platforms & other data to identify cyber risks like impersonations and generate alerts to safeguard customers. $40-50k/yr + benes. DM me for info.",0,train
"Melbourne is hiring more teaching-focused faculty! The positions are new and offer lots of opportunities, please email/DM me or 
@dprbyrne.bsky.social
 for more info!

Official job ad below

jobs.unimelb.edu.au/en/job/91433...",0,train
"If you are a #plantperson in the Fort Edward, NY area we are hiring retail associates at my job! Dm me for details!
Share this to get it to the right people please!!",0,train
"🚨Journalism job alert🚨

We're looking for a reporter at CFO Brew with experience covering corporate finance. 

Like not having to be on the hamster wheel of content, and instead write process stories and profiles and features? Come work with us!

jobs.lever.co/morningbrew/...",0,train
"Job Altert! 
We’re hiring at Monash Economics! Join a research-active, friendly department in Melbourne, Australia—a brilliant city to live in. Supportive culture, strong research ecosystem, and salaries that let you live well. Apply: econjobmarket.org/positions/11805 
DM/email me",0,train
If you need a job in Miami or you are close I will be hiring for a security $27 a hour for my shop from 9-5 easy money 💕,2,train
".@Survey160 is hiring! We're looking for analysts and part-time senior analysts to help with our work on text message surveys. If you have questions or are interested, @ me or DM me, or see the full job listings here: www.survey160.com/jobs",0,train
"MyLondon are hiring for something similar to my last role. It’s a cool gig with nice people

DM me if you have questions and do fwd to journos you think would be keen (esp. those from under-represented groups)
jobs.reachplc.com/job-descript... #journojobs",0,train
"Our department at the University of Toronto is hiring an assistant professor of sociology of race / ethnicity this fall.

I'm not on the hiring committee but am very happy to talk to you about the position if you are interested. You can email, DM, or find me at ASA.

http://jobs.utoronto.ca/job/Toronto-...",0,train
"We're hiring! Are you a Android developer and company culture is really important to you?
Then come work with me at @trydaily!

Check out the job description and the pay rate is listed there too. If you have any questions feel free to DM me.

Please...
",0,train
No commute. No dress code. Bills pilling up? Here your Opportunity. Opportunity is Knocking: shorturl.at/VmLey #WFHSuccess #MindsetMatters #StartToday #RemoteOpportunity #CareerShift #BuildYourEmpire #ClickTheLink #FlexibleCareer #SideHustleLife #ThisIsYourSign #LaptopLifestyle #CareerFreedom,2,train
"The college where I work is hiring a new Alternative Formats manager. If any of y'all work in accessibility, are familiar w/ alt formats, want to join an awesome team & get paid *much more money* than me, drop me a dm & I'll forward the posting to you when we get it. The job is (mostly?) remote.",2,train
"Are you a mom looking for WFH job, we’re currently hiring at driveline solutions. Be sure to send me a dm if this is something you’re interested on",0,train
"My squad is hiring a marketing campaign analyst. It's a role for someone who LOVES data. 

Other notes:
- We're a Marketo + SFDB shop, so you definitely need to have familiarity with that ecosystem
- You'd work real closely with me, so... be warned

DM me for the job req and referral info!",0,train
We’re hiring a Team Lead at the GESIS Computational Social Science department 🌐 Passionate about open science & innovative methods for digital behavioral data? Join us to shape the future of CSS! 💻📊 ❓ Questions? Contact me via DM or mail 👉 Job ad: www.hidden-professionals.de/HPv3.Jobs/ge...,0,train
🔥 Turnkey AI Business Opportunity ✅ No stress ✅ No dev work ✅ 100% profit potential Your brand. Your AI tools. 👉 direct.me/planifyxsoft... #AIBusiness #WhiteLabelTools #DigitalBiz #StartupHack #EarnFromHome #PlanifyXSoftware,2,train
"Persistent Systems Hiring Freshers as Associate Software Engineers in Partnership with Revature – Apply Now Role : Associate Software Engineer Location : WORK FROM HOME/GOA JOB DESCRIPTION: Persistent Systems, a leading global technology solutions company, ",0,train
"💼 Any experienced Shopify Devs looking for a job or job change? We're hiring! Mention below or DM me, please.",0,train
"⭐⭐⭐#Hiring - Thai Business Development & Sales Representative. Junior position.
Industry: eCommerce
Thai/English speaking and writing mandatory.
Fully remote (in Thailand)
Competitive salary + performance bonus

DM me to receive the full Job description.",1,train
New job title: The Boss. ✨ It's time to call your own shots. We're hiring for a remote opportunity where you are in control. #AOSouth #Hiring #BeYourOwnBoss #Entrepreneur #CareerGoals #BossLife Link in bio for a new career opportunity with AOSouth!,2,train
"UConn's Computational Biology Core is hiring a core scientist. We do research, training, and support users of our HPC. The position will be focused on supporting UConn Health. Please reskeet, and DM me if you have questions. 

jobs.hr.uconn.edu/cw/en-us/job...",0,train
Journalism Job Alert: Law360 is hiring a new reporter to cover tax issues in the EU on a short-term basis. Position will be based in Brussels and will last for six months. Feel free to DM me a CV if you're interested or ask me questions about working here.,0,train
"🚨 Good Job Alert: Our client @MimeoPhotos is hiring a Director of Development to oversee their macOS / iOS apps for printing photobooks, cards, and calendars. Remote, NYC, or Memphis. If you’re interested, shoot me a DM. www.mimeo.com/careers/jobs...",0,train
"🚨 Hiring in Manufacturing? 🚨

Streamline your recruitment process with expert support! I’ll help craft job ads, screen candidates, and schedule interviews all while keeping your pipeline organized. Let’s get the skilled talent you need, faster!

📩 DM me to learn more. ",1,train
"Content creator friends: We're hiring for a fun role at Spot AI to focus on video content creation. (You'll get to work with me!)

If you know anyone interested or you're interested DM me!

job-boards.greenhouse.io/spotai/jobs/...",1,train
"Now Hiring: Live Chat Assistant for a Shoe Company – Work from Home! 💻✨
📌 Apply now: bit.ly/NewOnline-Job

Earn $25 - $35 per hour working online from anywhere as a Live Chat Assistant! 🏡🌍",1,train
"🚨 The ReCiv project is hiring soon!

I am looking for a #postdoc to work at QUB with me and superstar Wiebke Marie Junk on the resilience of interest groups

sites.google.com/view/michele...

Benefits include:
- Fab project 🤯
- Great colleagues 😊

Job-ad out soon
Feel free to drop me a dm for Qs",0,train
"Want to write/edit at Scientific American? We're hiring! We want a technology writer / editor to cover AI, drones, misinformation, innovative apps, etc. Lots of fun, challenges & work with a great team. Job app: careers.springernature.com/job/New-York.... Questions? DM me or email.",0,train
"We at Huawei Ireland Research Center are Hiring.
If you want to chat re any Roles, drop me a DM .
Great team, cutting edge real-world research

Job Openings here
lnkd.in/e5GCU42Q
lnkd.in/e9ytFTEN",0,train
My job is hiring part-time customer support reps. It's fully remote (literally can work from the beach as long as you have a strong wifi connection) and nowhere near as high pressure as other customer support jobs tend to be. DM me and I can send you the job description and stuff #blacksky,2,train
"I'm hiring a Senior Writer to cover phones, tablets, and wearables for NYT Wirecutter! You'll write guides and short-form articles about the technology we rely on every day. You'll appear in social videos and contribute to our newsletters. You'll report to me. Dream job imo. Questions? DM me!",0,train
"Attention Sysadmins and Senior Helpdesk engineers I am hiring for an IT Lead. Drop me your Resume, or DM me for a link to the Job Posting.",1,train
HELP!! Hiring – Teamassistenz (M/W/D) … Is your next career move with me and the WORK Marketingteam? Apply or send me a DM work-microwave.softgarden.io/job/36391367...,1,train
"🚀 Launch your DONE-FOR-YOU coaching biz today — no tech, no guesswork!🚀You don’t need to coach anyone — just collect the leads & 100% of the sales!🚀LIMITED SPACE AVAILABLE! Watch demo HERE -> tinyurl.com/launchyrcoac... #SideHustle #WorkFromHome #PassiveIncome #MakeMoneyOnline #DONEFORYOU",2,train
"We’re hiring postdocs and a lab tech! Experimental & computational people welcome; come learn about GPCRs, cryoEM, MD/FEP, drug discovery, method development and more! Feel free to DM me for more info.
jobs.bcm.edu/job-invite/1... jobs.bcm.edu/job-invite/1...

Please RT!",0,train
"I love that my job, as in what i get paid to do(!), is to go to Meetups and talk to all of you awesome people about something I already love talking/learning about...#kubernetes. Does this sound like something you'd like to do too? We're hiring at @tigeraio. 😉 DM me for details!",0,train
"Hey yall...

So I work at the JW Marriott in DC and they are in a bit of a hiring spree.

If you live in the DC area and can use a job (full time or part time), DM me on telegram (link in profile)",1,train
"My team at Plane is hiring experienced full stack engineers. We use Rails, Postgres, Phlex, Vite, TypeScript and Svelte. I don’t have a full job description yet, but drop me a DM if you want to know more.",0,train
"Follow
🚨Tenure track job. Final alert🚨
The 
@cuny.edu
 
@baruch.cuny.edu
 history department is accepting applications for the position of assistant professor of the history of South Asia. Deadline is NOVEMBER 15.
cuny.jobs/new-york-ny/...",0,train
"We are hiring an #elixirlang engineer in the EU (UK, Ireland, Netherlands, Spain or Portugal). No need to already know Elixir. We will teach you. Want to work on an amazing team? Go here: job-boards.greenhouse.io/workera/jobs... If you have questions on the role. DM me.",0,train
My job is hiring like crazy rn. Dm me for deets,1,train
"Our department is hiring! Assoc. or Full professor of Journalism. See our job ad here:

osu.wd1.myworkdayjobs.com/OSUCareers/j...

Feel free to DM me with questions. Ohio State and the School of Communication is a great place to work. High quality people and high quality research. Please share!",0,train
"🚀 New Remote Job Alert!
💼 Work From Home Booking Coordinator
🏢 Away From Home Travels 2
🌍 UK 
📁 Customer Service
💰 £25,000 - £30,000

Apply now: juniorremotejobs.com/job/away-fro...",1,train
"If you or anyone you know is looking for a new position as a Senior Software Engineer in the great state of Michigan, my company is hiring. DM me for link to the job description.",0,train
Come and work with me! 📣 We have a User Researcher maternity cover vacancy at CDPS. Please share with your networks! This is a fixed-term contract role or secondment - DM me if interested in a secondment. www.yolkrecruitment.com/job/user-res...,0,train
"If anyone's looking for a online, full remote, full benefits job teaching, guaranteed to never be in person, please DM me.  My company's hiring",1,train
My job is hiring for a senior executive assistant. DM me your LinkedIn profile if you're interested!,0,train
"Calling all those who want to lead the fight in Texas to reach, register, and turn out the voters who will power Democratic victories up and down the ballot: we are hiring full-time organizers.

For details & how to apply, go to PoweredxPeople.org/Careers

",0,train
"Microsoft is hiring a remote Executive Business Administrator to support a CVP on the Azure Fleet Capacity team! Strategic leadership support, stakeholder coordination, and more!  
Need help? DM me! 
Job announcement: f.mtr.cool/injbimyowk
#MicrosoftCareers #ccCareerSolutions
",0,train
"I'm hiring a 2-year postdoc to come work with me on any issue related to the philosophy of thermodynamics! Please DM me with any questions. Deadline for initial consideration March 3, midnight PT. Please share widely!

Details here: philjobs.org/job/show/28502",0,train
"hi friends. if ur 18+ and looking for a job or a side hustle, my business is hiring! we work with onlyfans models as assistants/managers so u dont have to worry about anyone finding out who u are. rn i'm mostly looking for chatters but also people to handle social media. 
dm me!",2,train
"So, Dad has a day job protecting families and building wealth through life insurance products. AND, I am hiring. Work from home, or wherever you want to be. Want to learn more and join the Daddy Bear Insurance Agency? DM me.
",1,train
"Hiring Alert 🚨 Company: Aditya Birla Chemical Post : Supply Chain & Logistics Location : Mumbai Maharashtra Shared By : www.sciencehiring.com Join Us For Daily Science Hiring Alert whatsapp.com/channel/0029... 𝑫𝒐𝒏'𝒕 𝑷𝒂𝒚 𝑨𝒏𝒚 𝑭𝒆𝒆 𝒐𝒓 𝑺𝒖𝒃𝒔𝒄𝒓𝒊𝒑𝒕𝒊𝒐𝒏 𝑭𝒐𝒓 𝑻𝒉𝒆 𝑱𝒐𝒃, 𝑾𝒆 𝒂𝒓𝒆 𝑷𝒐𝒔𝒕𝒊𝒏𝒈 𝑴𝒐𝒏𝒆𝒕𝒂𝒓𝒚 𝑭𝒓𝒆𝒆 𝑱𝒐𝒃𝒔",0,train
"Discover the top work from home jobs for 2025 that are hiring now. These online job ideas are perfect for beginners and pros alike. Work smarter, not harder! 

https://foundersdocs.com/capture/",2,train
"🚨Job Alert 🚨 My department is hiring! We are advertising for three positions, including an open-subfield Assistant Professor with a focus on ""Problems of Democracy,"" for which political theorists will be considered. Feel free to DM / email me your questions! uscjobs.sc.edu/postings/192...",0,train
"hi friends. if ur 18+ and looking for a job or a side hustle, my business is hiring! we work with onlyfans models as assistants/managers so u dont have to worry about anyone finding out who u are. rn i'm mostly looking for chatters but also people to handle social media. dm me!",2,train
"We're #hiring a new Head of the Sovereign Tech Fund! 🚀

The #SovereignTechFund is the flagship program of the Sovereign Tech Agency. Since 2022, we've invested in critical #opensource infrastructure—from curl to FreeBSD to technologies like DNS powering the web—to strengthen #digitalsovereignty. 1/3",0,train
"If interested in working from home, please join our email list, for work from home offers. zurl.co/7guvr You can also visit our website: zurl.co/CThsm #fyp #workfromhome #remotework #joinus",2,train
"🚀 Career moves await! Federal & private sectors are hiring for: 

Clinical Psychologist – Program Manager 
Supervisory Speech-Language Pathologist 
Senior Capture Manager 

Check full job descriptions here: tinyurl.com/2fz7h369 

DM me. Let’s get you HIRED!
#ccCareerSolutions #GetHired",0,train
"🚀 New Job Alert! 

1nHealth Inc. is hiring a Senior Full Stack Developer to work with React and Laravel. Join a mission-driven team aiming to improve global health outcomes. Remote work available! 

Apply here: larajobs.com/job/3760",0,train
"Work from anywhere, anytime. Your opportunity for extra income and flexibility starts here. Apply at zurl.co/pQC96 #BeYourOwnBoss #RemoteWorkLife #EarnFromHome",2,train
"Stars and Stripes, the editorially independent daily newspaper and website covering the U.S. military worldwide, is hiring a U.S. Bureau Chief at its headquarters in Washington, D.C. 🗞️

Interested? Apply here➡️ www.usajobs.gov/job/849430100",0,train
"Are you holding on to your current job tightly, cognizant that hiring opportunities are few and far between? Reach out to me for a story emily.peck@axios.com or DM. Thank you for your attention to this matter",1,train
The Cap Times is #hiring a K-12 education reporter. DM me with any questions and find the job listing here: journalismjobs.com/1690965-educat…,0,train
"We will probably also be hiring general product and infrastructure engineering as well soon - so if any of this sounds cool, feel free to send me a DM.

FWIW, this is the most interesting job I've ever had, and the most fun team I've ever been on.",1,train
"hi friends. if ur 18+ and looking for a job or a side hustle, my business is hiring! we work with onlyfans models as assistants/managers so u dont have to worry about anyone finding out who u are. rn i'm mostly looking for chatters but also people to handle social media. 
dm me!",2,train
"Hey! They're hiring a replacement for my old position at Oakland University (just north of Detroit, MI). If you're interested, feel free to DM me any questions. jobs.oakland.edu/postings/31777",0,train
"🚨 HIRING NOW!
A new opportunity just dropped 👇

Position: Platform Engineer (x/f/m) – Tech Foundations 
 
Find more remote work from home jobs or onsite with great salaries. 

🔗 Apply here: jobsjornal.online/job/platform... 
⏰ Don’t wait — applications may close soon.",2,train
"🚨 Job Alert!

We're recruiting a part-time freelance managing editor to join the CEH editorial team. 

Applications are due by 30 November 2025.

Full details and application process here:

www.cambridge.org/core/journal...",0,train
My company is hiring a full time full remote (usa only) frontend developer with remix/react router experience. If that sounds like you or someone you know DM me for the job description.,1,train
"Tired of hustling nonstop? I was too — until $1,200/month started flowing in like clockwork. 💸🔥 More freedom. Less stress. Ready to turn your side hustle into steady income? 👉 shorturl.at/SqyY9 #MakeMoneyOnline  #WorkFromHome #PassiveIncome #FinancialFreedom #OnlineBusiness #EarnFromHome #Money",2,train
INTERVIEW* INTERVIEW *INTERVIEW* !!! Powertofly Company is hiring to work from home and in the office We are recruiting new employees who will work with our company ( Powertofly Company ) Pay Rate: $30/hr Position Available:Data Entry and Customer service Job Cost: Free. Dm me for more info,1,train
"Job alert! 

@ischoolui.bsky.social
 is hiring in 4 areas this year

Early literacies: illinois.csod.com/ux/ats/caree...

Information behavior/HCI/UX: illinois.csod.com/ux/ats/caree...

Information, Culture & Society: illinois.csod.com/ux/ats/caree...

Open IS: illinois.csod.com/ux/ats/caree...",0,train
"𝙃𝙄𝙍𝙄𝙉𝙂! 𝙃𝙄𝙍𝙄𝙉𝙂!! 𝙃𝙄𝙍𝙄𝙉𝙂!!! 
Currently Conscentrix is offering work from home online job offer. The pay is $25/hr, 8 a.m - 12 p.m or 12 p.m. - 4 p.m. and tallied, total of 40-hours work a week.",1,train
"hi friends. if ur 18+ and looking for a job or a side hustle, my business is hiring! we work with onlyfans models as assistants/managers so u dont have to worry about anyone finding out who u are. rn i'm mostly looking for chatters but also people to handle social media. dm me!",2,train
We are hiring! My team supports scientists around career defining communication moments (eg job- and ERC interviews and keynotes). We want to establish a pool of freelance graphic designers with academic experience to help us with PPT slides and illustrations. Interested? DM me or reply below,0,train
Come work with me! 538 and ABC News are hiring a politics editor: jobs.disneycareers.com/job/washingt... DM or email with any questions!,0,train
"UTCS is hiring in all areas, including PL! Please DM me if you are on the job market this year and interested in joining our wonderful department :)",0,train
📣 NOW HIRING: Chicago #gaming content creators! My [Fortune 500 company] is hiring for 2 (TWO) in Chicagoland! ✨Benefits ➕ $60-75k ➕ MOSTLY remote (some days you'll go to the downtown #Chicago studio) DM me if interested & I'll send the #job description!,0,train
"Job alert 🚨 
MU is recruiting a Teaching & Learning Librarian. 

This is a permanent, full-time position offering the opportunity to develop a wide range of skills, valuable experience, and build professional expertise! 

More info lnkd.in/empMXqVS",1,train
"Truly if you are looking for some steady work please dm me. I just need help around the house since I’m in the wheelchair, while 
@jjorbles.bsky.social
 is at work sometimes when he’s home. House is easy enough to keep clean, it’s a very easy job with good pay & flexibility. Dm or text me hiring ASAP",2,train
"UW Mechanical Engineering is hiring! We have multiple faculty positions available, including one in medical imaging physics. Please feel free to DM me with any questions and hope you help spread the word! Come join us in Seattle 🌧️ 

www.me.washington.edu/about/job-op...",0,train
"The best work perk? Being home for dinner. Every. Single. Night. 🍽️❤️ This is the goal. This is the ""why."" At AOSouth, we're building careers that fit into a happy life. Learn more: aosouth.life #WorkToLive #AOSouth #WFHPerks #FamilyDinner",2,train
"Starting to get worried about this job search... Anyone know places hiring? Work from home preferably, but anything in Arizona if not. Looking for work in the operations management field. Spreadsheets, reports, data analysis, that sort of thing. Any leads are helpful, so far zero responses.",0,train
"My team is hiring at Nature Communications! If you're at #AGU24 and would like to chat about what my (great) job is like, please DM me! 

Associate editor (US) - $74k/yr
Senior editor (US) - $91k/yr

http://www.nature.com/naturecareer...",0,test
"🚀 New Remote Job Alert!
💼 Lettings Administrator
🏢 Harris & Daughter Ltd.
🌍 UK 
📁 Administrative
💰 £20,000 - £25,000
Apply now: www.remotejobshub.app/job/harris-d...",1,test
I have a position open for a summer internship in the department of Discovery Oncology at Genentech! A great opportunity for an early career scientist to do a research project and gain experience in industry. Apply below or DM me if interested.,0,test
Do you know of a summer internship for 16+ still taking applications? Or a summer workshop or interesting job? I'm helping add to a list for our HS students here in Central Jersey. Link me or drop a message in DM.,0,test
